"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","n_divergent","max_rhat"
"faginea","GH","AGR.TreatD",369,8,0.757803393919217,1.09109077681945,-5.12379090935891,4.45290595426422,0.638333333333333,667,1.03995279779384
"faginea","GH","AGR.TreatWW",382,8,-0.486663259101742,-0.157889085546767,-6.1556999496971,3.52601883077115,0.942666666666667,1359,1.19240334600935
"faginea","GH","Area.TreatD",380,8,1.12859865519118,1.28462288043521,-3.34449449758531,4.33352975599013,0.477666666666667,541,1.16574177266422
"faginea","GH","Area.TreatWW",381,8,-0.336675183269764,0.118879166918139,-6.42137457554225,3.34824050919364,0.960333333333333,873,1.16602958156083
"faginea","GH","FvFmprima.TreatD",316,8,2.80663751551911,2.82109341457056,-3.49745998445201,9.14744688276792,0.325666666666667,274,1.01227385954957
"faginea","GH","FvFmprima.TreatWW",367,8,2.82426750124191,2.91197230824806,-3.96814302280286,9.40475029355211,0.338333333333333,324,1.00410819847777
"faginea","GH","Gsarea.TreatD",383,8,1.37441978938757,1.54823939697262,-5.01051588181242,6.54567234148006,0.583666666666667,386,1.02556417455725
"faginea","GH","Gsarea.TreatWW",377,8,2.70410590552823,2.76411115795804,-4.32757108999223,9.48886735840904,0.383,424,1.01121000688747
"faginea","GH","Gsmass.TreatD",380,8,0.727585342148549,1.06367718916601,-5.75954578288079,5.03466684838805,0.688,381,1.02784769704953
"faginea","GH","Gsmass.TreatWW",377,8,3.87424009200018,3.79684239997851,-2.1476746129013,10.1182196290196,0.159333333333333,284,1.00730115897564
"faginea","GH","NPQ.TreatD",316,8,3.17891687922228,3.2047066594403,-3.58991912546224,9.71116366926681,0.294,358,1.00508056077549
"faginea","GH","NPQ.TreatWW",367,8,1.43687851570242,1.63120325787794,-5.04477987625905,6.83117598738037,0.536666666666667,329,1.0185747157607
"faginea","GH","PA.TreatD",380,8,0.58738287907681,0.905511598683524,-5.07689476296609,4.34528634049643,0.696333333333333,1007,1.27390350992832
"faginea","GH","PA.TreatWW",381,8,-0.0629507290924506,0.223110628215128,-6.28209024289278,4.38777741066917,0.928666666666667,819,1.1602818149065
"faginea","GH","PhiPSII.TreatD",316,8,4.10890790495918,3.96299203228497,-1.12057329204715,10.1402676421283,0.108,384,1.0193083238726
"faginea","GH","PhiPSII.TreatWW",367,8,3.30064153658968,3.37053695157873,-3.36985956585879,9.84991148137126,0.271333333333333,213,1.00466364147417
"faginea","GH","RGR.TreatD",369,8,-0.100424998647203,0.270823150749402,-6.31946356034484,4.03960053524517,0.918666666666667,446,1.06295358650005
"faginea","GH","RGR.TreatWW",382,8,0.864595596393907,1.08605678285332,-5.59191063356203,5.75420721175724,0.684,429,1.02038478404456
"faginea","GH","SLA.TreatD",378,8,3.68401724555561,3.15605258700072,0.618031736419945,7.04131342718496,0.012,1541,1.47483586917246
"faginea","GH","SLA.TreatWW",377,8,3.01026034238022,3.01806515135797,0.699563178995128,5.38906925667817,0.00833333333333333,522,1.06995419940577
"faginea","GH","Thickness.TreatD",341,8,2.03577396842176,2.04801456280505,-0.67632507900737,4.77445439660579,0.14,298,1.04773309707028
"faginea","GH","Thickness.TreatWW",377,8,1.26328384361011,1.33371433295587,-2.1615803744162,4.08307501712507,0.350666666666667,1673,1.39439894011812
