species,pop,pc1_rv,pc2_rv
faginea,VAL,2.5,1.0
faginea,QUI,1.3,-0.9
faginea,MAC,0.3,1.0
faginea,VIL,1.5,0.0
faginea,SAL,-0.2,-0.6
faginea,MOL,1.6,-1.2
faginea,SOT,-0.2,-0.7
faginea,CUE,0.1,-1.2
faginea,PEN,-0.4,2.6
faginea,TAL,-0.8,-0.6
faginea,ESP,0.3,-0.3
faginea,RET,-1.0,-0.9
faginea,VIS,-0.7,-0.5
faginea,ZAF,-0.8,0.4
faginea,ALA,-1.0,0.5
faginea,OLA,-1.2,0.5
faginea,LUJ,0.4,0.1
faginea,BOS,-1.3,1.8
lusitanica,PI,2.2,-1.0
lusitanica,PE,0.6,-0.5
lusitanica,PO,-0.4,0.0
lusitanica,OL,-0.1,0.7
lusitanica,FE,-0.5,1.0
lusitanica,CA,-1.2,-1.6
lusitanica,MO,-0.6,-0.4
lusitanica,UB,-0.5,-0.3
lusitanica,BU,-0.4,1.6
