"model","wdiff","wvar","correlation","TPR_at_FPR005_QSTFST","TPR_at_FPR005_MONET","TPR_at_FPR005_Driftsel","n_replicates"
"IM","0","10",NA,0.907,0.866,0.8848,500
"IM","0","22",NA,0.597,0.506,0.568,500
"IM","0","50",NA,0.0948,0.073,0.1005,500
"IM","10","10",NA,1,1,1,500
"IM","10","22",NA,1,1,1,500
"IM","10","50",NA,0.09,0.127,0.0856,500
"IM","4p6","10",NA,0.573,0.7244,0.544,500
"IM","4p6","22",NA,0.06,0.134,0.05,500
"IM","4p6","50",NA,0.046,0.032,0.055,500
"SS","0.0","10",NA,0.031,0.247,0.099,500
"SS","0.0","22",NA,0.008,0.094,0.0325,500
"SS","0.0","50",NA,0.0215,0.052,0.0306666666666667,500
"SS","10.0","10","cline",1,0.994,1,500
"SS","10.0","10","sine",1,1,1,500
"SS","10.0","22","cline",1,0.908666666666667,0.992,500
"SS","10.0","22","sine",1,1,1,500
"SS","10.0","50","cline",0.777333333333333,0.344,0.386,500
"SS","10.0","50","sine",0.5594,0.889,0.958,500
"SS","4p6","10","cline",0.615333333333333,0.0612,0.076,500
"SS","4p6","10","sine",0.992,0.998,1,500
"SS","4p6","22","_cline",0.436,0.057,0.0573333333333333,500
"SS","4p6","22","_sine",0.7284,0.936,0.978,500
"SS","4p6","50","_cline",0.0528,0.0388571428571429,0.033,500
"SS","4p6","50","_sine",0.016,0.186,0.2,500
"hierarchical","0","10",NA,0.253,0.356,0.242,500
"hierarchical","0","22",NA,0.1008,0.0745,0.094,500
"hierarchical","0","50",NA,0.042,0.094,0.043,500
"hierarchical","10","10","_grouped",1,1,1,500
"hierarchical","10","10","_swapped",1,1,1,500
"hierarchical","10","22","_grouped",0.193,0.199,0.158,500
"hierarchical","10","22","_swapped",0.046,0.29,0.0948,500
"hierarchical","10","50","_grouped",0.0613333333333333,0.112,0.051,500
"hierarchical","10","50","_swapped",0.0673333333333333,0.068,0.0593333333333333,500
"hierarchical","4p6","10","_grouped",0.936,0.699,0.754,500
"hierarchical","4p6","10","_swapped",0.571333333333333,0.944,0.79,500
"hierarchical","4p6","22","_grouped",0.0306666666666667,0.038,0.046,500
"hierarchical","4p6","22","_swapped",0.019,0.02,0.028,500
"hierarchical","4p6","50","_grouped",0.038,0.102,0.056,500
"hierarchical","4p6","50","_swapped",0.03,0.058,0.03,500
